iso_code,date,source_id,vaccine_id,total_vaccinations,people_vaccinated,people_fully_vaccinated
FRA,2020/12/27,70,2,169,169,0
FRA,2020/12/28,70,2,378,378,0
FRA,2020/12/29,70,2,533,533,0
FRA,2020/12/30,70,2,712,712,0
FRA,2020/12/31,70,2,866,866,0
FRA,2021/01/01,70,2,1027,1027,0
FRA,2021/01/02,70,2,1169,1169,0
FRA,2021/01/03,70,2,1337,1337,0
FRA,2021/01/04,70,2,2928,2928,0
FRA,2021/01/05,70,2,8474,8474,0
FRA,2021/01/06,70,2,19916,19916,0
FRA,2021/01/07,70,2,48788,48788,0
FRA,2021/01/08,70,2,85311,85311,0
FRA,2021/01/09,70,2,96321,96321,0
FRA,2021/01/10,70,2,102021,102021,0
FRA,2021/01/11,70,2,141419,141419,0
FRA,2021/01/12,70,2,202760,202760,0
FRA,2021/01/13,70,2,267073,267073,0
FRA,2021/01/14,70,5,348012,348012,0
FRA,2021/01/14,70,2,348012,348012,0
FRA,2021/01/15,70,5,416166,416166,0
FRA,2021/01/15,70,2,416166,416166,0
FRA,2021/01/16,70,5,436130,436053,77
FRA,2021/01/16,70,2,436130,436053,77
FRA,2021/01/17,70,5,446769,446650,119
FRA,2021/01/17,70,2,446769,446650,119
FRA,2021/01/18,70,5,531911,531631,280
FRA,2021/01/18,70,2,531911,531631,280
FRA,2021/01/19,70,5,661471,661066,405
FRA,2021/01/19,70,2,661471,661066,405
FRA,2021/01/20,70,5,797821,797259,562
FRA,2021/01/20,70,2,797821,797259,562
FRA,2021/01/21,70,5,954527,953831,696
FRA,2021/01/21,70,2,954527,953831,696
FRA,2021/01/22,70,5,1074381,1073525,856
FRA,2021/01/22,70,2,1074381,1073525,856
FRA,2021/01/23,70,5,1112483,1111577,906
FRA,2021/01/23,70,2,1112483,1111577,906
FRA,2021/01/24,70,5,1121975,1121042,933
FRA,2021/01/24,70,2,1121975,1121042,933
FRA,2021/01/25,70,5,1200549,1198401,2148
FRA,2021/01/25,70,2,1200549,1198401,2148
FRA,2021/01/26,70,5,1303148,1297891,5257
FRA,2021/01/26,70,2,1303148,1297891,5257
FRA,2021/01/27,70,5,1415038,1404188,10850
FRA,2021/01/27,70,2,1415038,1404188,10850
FRA,2021/01/28,70,5,1552648,1527441,25207
FRA,2021/01/28,70,2,1552648,1527441,25207
FRA,2021/01/29,70,5,1661305,1618816,42489
