iso_code,vaccine_id,date_avaliable,date_unavaliable,data_source_id
AFG,9,,,1
AFG,1,,,1
AFG,2,,,1
AFG,3,,,1
ALB,1,,,2
ALB,2,,,2
ALB,4,,,2
ALB,6,,,2
DZA,1,,,3
DZA,3,,,3
DZA,4,,,3
DZA,6,,,3
AND,1,,,4
AND,2,,,4
AGO,1,,,5
AIA,1,,,6
ATG,1,,,7
ARG,5,,,8
ARG,1,,,8
ARG,3,,,8
ARG,6,,,8
ARM,1,,,9
ARM,4,,,9
ARM,6,,,9
ABW,2,,,10
AUS,1,2021/03/08,,11
AUS,2,2021/02/15,,11
AUT,9,,,12
AUT,5,,,12
AUT,1,,,12
AUT,2,,,12
AZE,1,,,13
AZE,4,,,13
AZE,6,,,13
BHS,1,,,14
BHR,1,,,15
BHR,2,,,15
BHR,3,,,15
BHR,6,,,15
BGD,5,,,16
BGD,1,,,16
BGD,2,,,16
BGD,3,,,16
BRB,1,,,17
BLR,3,,,18
BLR,6,,,18
BEL,9,,,19
BEL,5,,,19
BEL,1,,,19
BEL,2,,,19
BLZ,1,,,20
BLZ,3,,,20
BEN,1,,,21
BEN,4,,,21
BMU,1,,,22
BMU,2,,,22
BTN,5,,,23
BTN,1,,,23
BTN,2,,,23
BOL,1,,,24
BOL,2,,,24
BOL,3,,,24
BOL,6,,,24
BES,5,,,25
BES,2,,,25
BIH,1,,,26
BIH,2,,,26
BIH,4,,,26
BIH,6,,,26
BWA,1,,,27
BRA,9,,,28
BRA,1,,,28
BRA,2,,,28
BRA,4,,,28
VGB,1,,,29
BRN,1,,,30
BRN,3,,,30
BGR,9,,,31
BGR,5,,,31
BGR,1,,,31
BGR,2,,,31
BFA,1,,,32
KHM,9,,,33
KHM,1,,,33
KHM,3,,,33
KHM,4,,,33
CMR,1,,,34
CMR,3,,,34
CAN,5,,,35
CAN,1,,,35
CAN,2,,,35
CPV,1,,,36
CPV,2,,,36
CYM,1,,,37
CYM,2,,,37
CAF,12,,,38
CAF,1,,,38
TCD,3,,,39
CHL,13,,,40
CHL,1,,,40
CHL,2,,,40
CHL,4,,,40
CHN,13,,,41
CHN,3,,,41
CHN,11,,,41
CHN,4,,,41
COL,1,,,42
COL,2,,,42
COL,4,,,42
COM,12,,,43
COM,1,,,43
COM,3,,,43
COG,5,,,44
COG,1,,,44
COG,3,,,44
COG,6,,,44
COK,1,,,45
CRI,1,,,46
CRI,2,,,46
CIV,1,,,47
HRV,5,,,48
HRV,1,,,48
HRV,2,,,48
CUB,14,,,49
CUB,7,,,49
CUW,5,,,50
CUW,2,,,50
CYP,9,,,51
CYP,5,,,51
CYP,1,,,51
CYP,2,,,51
CZE,9,,,52
CZE,5,,,52
CZE,1,,,52
CZE,2,,,52
COD,1,,,53
DNK,9,,,54
DNK,5,,,54
DNK,2,,,54
DJI,1,,,55
DJI,3,,,55
DJI,4,,,55
DJI,6,,,55
DMA,1,,,56
DMA,3,,,56
DOM,1,,,57
DOM,2,,,57
DOM,3,,,57
DOM,4,,,57
ECU,1,,,58
ECU,2,,,58
ECU,4,,,58
EGY,1,,,59
EGY,2,,,59
EGY,3,,,59
EGY,4,,,59
EGY,6,,,59
SLV,1,,,60
SLV,2,,,60
SLV,4,,,60
OWID_ENG,5,,,61
OWID_ENG,1,,,61
OWID_ENG,2,,,61
GNQ,3,,,62
EST,9,,,63
EST,5,,,63
EST,1,,,63
EST,2,,,63
SWZ,1,,,64
ETH,1,,,65
FRO,5,,,66
FRO,2,,,66
FLK,1,,,67
FJI,1,,,68
FIN,5,,,69
FIN,1,,,69
FIN,2,,,69
FRA,9,2021/04/23,,70
FRA,5,2021/01/14,,70
FRA,1,2021/02/06,,70
FRA,2,2020/12/27,,70
PYF,9,,,71
PYF,2,,,71
GAB,3,,,72
GMB,1,,,73
GMB,3,,,73
GEO,1,,,74
DEU,9,,,75
DEU,5,,,75
DEU,1,,,75
DEU,2,,,75
GHA,1,,,76
GHA,6,,,76
GIB,2,,,77
GRC,9,,,78
GRC,5,,,78
GRC,1,,,78
GRC,2,,,78
GRL,5,,,79
GRD,1,,,80
GTM,5,,,81
GTM,1,,,81
GGY,5,,,82
GGY,1,,,82
GGY,2,,,82
GIN,6,,,83
GNB,1,,,84
GNB,3,,,84
GUY,1,,,85
GUY,6,,,85
HTI,9,,,86
HTI,1,,,86
HND,9,,,87
HND,5,,,87
HND,1,,,87
HND,2,,,87
HND,6,,,87
HKG,2,,,88
HKG,4,,,88
HUN,9,,,89
HUN,5,,,89
HUN,1,,,89
HUN,2,,,89
HUN,3,,,89
HUN,6,,,89
ISL,9,,,90
ISL,5,,,90
ISL,1,,,90
ISL,2,,,90
IND,12,,,91
IND,1,,,91
IND,6,,,91
IDN,5,,,92
IDN,1,,,92
IDN,3,,,92
IDN,4,,,92
IRN,12,,,93
IRN,1,,,93
IRN,3,,,93
IRN,6,,,93
IRQ,1,,,94
IRQ,2,,,94
IRQ,3,,,94
IRQ,6,,,94
IRL,9,,,95
IRL,5,,,95
IRL,1,,,95
IRL,2,,,95
IMN,1,,,96
IMN,2,,,96
ISR,5,,,97
ISR,2,,,97
ITA,9,,,98
ITA,5,,,98
ITA,1,,,98
ITA,2,,,98
JAM,1,,,99
JPN,5,,,100
JPN,2,,,100
JEY,5,,,101
JEY,1,,,101
JEY,2,,,101
JOR,1,,,102
JOR,2,,,102
JOR,3,,,102
JOR,6,,,102
KAZ,15,,,103
KAZ,8,,,103
KAZ,6,,,103
KEN,1,,,104
KEN,6,,,104
OWID_KOS,1,,,105
KWT,2,,,106
KGZ,3,,,107
KGZ,6,,,107
LAO,9,,,108
LAO,1,,,108
LAO,2,,,108
LAO,3,,,108
LAO,4,,,108
LAO,6,,,108
LVA,9,,,109
LVA,5,,,109
LVA,1,,,109
LVA,2,,,109
LBN,1,,,110
LBN,2,,,110
LBN,3,,,110
LBN,6,,,110
LSO,1,,,111
LBR,1,,,112
LBY,9,,,113
LBY,5,,,113
LBY,1,,,113
LBY,2,,,113
LBY,3,,,113
LBY,4,,,113
LBY,6,,,113
LIE,5,,,114
LIE,2,,,114
LTU,9,,,115
LTU,5,,,115
LTU,1,,,115
LTU,2,,,115
LUX,5,,,116
LUX,1,,,116
LUX,2,,,116
MAC,2,,,117
MAC,3,,,117
