iso_code,date,age_group_id,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
AUT,8/01/2021,3,0.12,0
AUT,8/01/2021,8,0.38,0
AUT,8/01/2021,13,0.54,0
AUT,8/01/2021,17,0.32,0
AUT,8/01/2021,21,0.27,0
AUT,8/01/2021,23,1.22,0
AUT,15/01/2021,3,0.44,0
AUT,15/01/2021,8,1.18,0
AUT,15/01/2021,13,1.81,0.01
AUT,15/01/2021,17,1.3,0
AUT,15/01/2021,21,1.29,0.01
AUT,15/01/2021,23,6.03,0.02
AUT,22/01/2021,3,0.87,0.01
AUT,22/01/2021,8,2.16,0.04
AUT,22/01/2021,13,3.15,0.07
AUT,22/01/2021,17,2.11,0.05
AUT,22/01/2021,21,2.15,0.07
AUT,22/01/2021,23,11.74,0.31
AUT,29/01/2021,3,1.03,0.1
AUT,29/01/2021,8,2.46,0.24
AUT,29/01/2021,13,3.54,0.36
AUT,29/01/2021,17,2.38,0.25
AUT,29/01/2021,21,2.36,0.23
AUT,29/01/2021,23,14.1,1.03
AUT,5/02/2021,3,1.15,0.4
AUT,5/02/2021,8,2.68,1.06
AUT,5/02/2021,13,3.85,1.6
AUT,5/02/2021,17,2.57,1.14
AUT,5/02/2021,21,2.51,1.08
AUT,5/02/2021,23,14.9,5.07
AUT,12/02/2021,3,1.52,0.79
AUT,12/02/2021,8,3.04,2
AUT,12/02/2021,13,4.3,2.9
AUT,12/02/2021,17,2.83,1.94
AUT,12/02/2021,21,2.72,1.87
AUT,12/02/2021,23,15.82,10.25
AUT,19/02/2021,3,2,0.99
AUT,19/02/2021,8,3.71,2.35
AUT,19/02/2021,13,5.14,3.39
AUT,19/02/2021,17,3.33,2.24
AUT,19/02/2021,21,3.04,2.23
AUT,19/02/2021,23,20.14,13.33
AUT,26/02/2021,3,2.95,1.12
AUT,26/02/2021,8,4.8,2.61
AUT,26/02/2021,13,6.45,3.76
AUT,26/02/2021,17,4.2,2.51
AUT,26/02/2021,21,3.53,2.41
AUT,26/02/2021,23,27.76,13.99
AUT,5/03/2021,3,3.73,1.2
AUT,5/03/2021,8,5.87,2.75
AUT,5/03/2021,13,7.91,3.96
AUT,5/03/2021,17,5.32,2.66
AUT,5/03/2021,21,4.57,2.56
AUT,5/03/2021,23,43.8,14.92
AUT,12/03/2021,3,5.11,1.24
AUT,12/03/2021,8,7.91,2.88
AUT,12/03/2021,13,10.41,4.16
AUT,12/03/2021,17,8.11,2.84
AUT,12/03/2021,21,8.14,2.84
AUT,12/03/2021,23,57.4,19.07
AUT,19/03/2021,3,5.81,1.29
AUT,19/03/2021,8,9.25,2.98
AUT,19/03/2021,13,12.39,4.33
AUT,19/03/2021,17,10.98,3.09
AUT,19/03/2021,21,13.79,3.24
AUT,19/03/2021,23,66.75,26.64
AUT,26/03/2021,3,6.45,1.36
AUT,26/03/2021,8,10.45,3.11
AUT,26/03/2021,13,14.21,4.62
AUT,26/03/2021,17,13.36,3.58
AUT,26/03/2021,21,18.98,4.02
AUT,26/03/2021,23,71.79,42.04
AUT,2/04/2021,3,6.81,1.49
AUT,2/04/2021,8,11.02,3.28
AUT,2/04/2021,13,15.22,4.92
AUT,2/04/2021,17,15,4.21
AUT,2/04/2021,21,26.91,5.5
AUT,2/04/2021,23,78.3,53.04
AUT,9/04/2021,3,7.14,2.2
AUT,9/04/2021,8,11.59,4.15
AUT,9/04/2021,13,16.33,6.09
AUT,9/04/2021,17,19.73,6
AUT,9/04/2021,21,40.4,9.03
AUT,9/04/2021,23,84.05,62.31
AUT,16/04/2021,3,7.62,2.54
AUT,16/04/2021,8,12.69,4.65
AUT,16/04/2021,13,18.52,6.94
AUT,16/04/2021,17,27.67,7.61
AUT,16/04/2021,21,54.46,13.09
AUT,16/04/2021,23,88.11,66.47
AUT,23/04/2021,3,8.5,2.7
AUT,23/04/2021,8,14.42,4.9
AUT,23/04/2021,13,22.26,7.33
AUT,23/04/2021,17,37.43,8.26
AUT,23/04/2021,21,63.7,15.44
AUT,23/04/2021,23,90.06,70.73
AUT,30/04/2021,3,9.7,2.96
AUT,30/04/2021,8,16.31,5.21
AUT,30/04/2021,13,27.03,7.79
AUT,30/04/2021,17,48.89,9.32
AUT,30/04/2021,21,67.89,19.76
AUT,30/04/2021,23,91.31,72.1
AUT,7/05/2021,3,11.66,3.54
AUT,7/05/2021,8,19.5,5.94
AUT,7/05/2021,13,34.12,8.79
AUT,7/05/2021,17,57.62,11.5
AUT,7/05/2021,21,71.44,26.31
AUT,7/05/2021,23,92.8,74.21
AUT,14/05/2021,3,13.96,4.27
AUT,14/05/2021,8,22.98,6.88
AUT,14/05/2021,13,42.03,10.05
AUT,14/05/2021,17,64.03,13.74
AUT,14/05/2021,21,73.42,30.34
AUT,14/05/2021,23,93.77,75.48
AUT,21/05/2021,3,16.76,5.35
AUT,21/05/2021,8,27.99,8.4
AUT,21/05/2021,13,49.13,12.31
AUT,21/05/2021,17,70.62,17.76
AUT,21/05/2021,21,75.39,36.19
AUT,21/05/2021,23,94.86,79.52
AUT,28/05/2021,3,19.55,6.64
AUT,28/05/2021,8,32.21,10.66
AUT,28/05/2021,13,53.56,15.78
AUT,28/05/2021,17,73.78,23.22
AUT,28/05/2021,21,76.41,42.71
AUT,28/05/2021,23,95.49,82.09
AUT,4/06/2021,3,23.88,8.21
AUT,4/06/2021,8,37.69,13.23
AUT,4/06/2021,13,58.67,19.94
AUT,4/06/2021,17,76.25,31.1
AUT,4/06/2021,21,77.35,49.6
AUT,4/06/2021,23,96.11,83.57
AUT,11/06/2021,3,29.24,10.03
AUT,11/06/2021,8,42.84,16.48
AUT,11/06/2021,13,63.47,26.17
AUT,11/06/2021,17,77.73,42.02
AUT,11/06/2021,21,78.08,54.23
AUT,11/06/2021,23,96.63,86.04
AUT,18/06/2021,3,33.96,12.33
AUT,18/06/2021,8,47.46,19.97
AUT,18/06/2021,13,66.34,32.91
AUT,18/06/2021,17,79.09,50.98
AUT,18/06/2021,21,78.81,58.71
AUT,18/06/2021,23,97.18,88.21
AUT,25/06/2021,3,38.33,15.02
AUT,25/06/2021,8,51.4,24.3
AUT,25/06/2021,13,67.85,42.08
AUT,25/06/2021,17,80.01,57.95
AUT,25/06/2021,21,79.35,64.75
AUT,25/06/2021,23,97.59,90.24
AUT,2/07/2021,3,43.04,19.67
AUT,2/07/2021,8,54.73,29.9
AUT,2/07/2021,13,69.31,49.28
AUT,2/07/2021,17,80.94,65.69
AUT,2/07/2021,21,79.93,71.33
AUT,2/07/2021,23,98.02,91.75
AUT,9/07/2021,3,47.9,24.58
AUT,9/07/2021,8,57.03,35.68
AUT,9/07/2021,13,70.42,54.67
AUT,9/07/2021,17,81.73,70.34
AUT,9/07/2021,21,80.39,74.37
AUT,9/07/2021,23,98.37,92.76
AUT,16/07/2021,3,50.29,29.37
AUT,16/07/2021,8,58.44,41.14
AUT,16/07/2021,13,71.37,59.41
AUT,16/07/2021,17,82.45,74.19
AUT,16/07/2021,21,80.85,75.91
AUT,16/07/2021,23,98.72,93.57
AUT,23/07/2021,3,52.29,34.8
AUT,23/07/2021,8,59.73,45.94
AUT,23/07/2021,13,72.23,63.83
AUT,23/07/2021,17,83.09,76.44
AUT,23/07/2021,21,81.27,76.89
AUT,23/07/2021,23,99.07,94.24
AUT,30/07/2021,3,53.44,39.94
AUT,30/07/2021,8,60.46,50.28
AUT,30/07/2021,13,72.73,66.4
AUT,30/07/2021,17,83.5,78.32
AUT,30/07/2021,21,81.55,77.72
AUT,30/07/2021,23,99.32,94.83
AUT,6/08/2021,3,54.4,43.43
AUT,6/08/2021,8,61.1,53.67
AUT,6/08/2021,13,73.21,68.03
AUT,6/08/2021,17,83.89,79.59
AUT,6/08/2021,21,81.82,78.38
AUT,6/08/2021,23,99.54,95.29
BEL,8/01/2021,3,0.04,0
BEL,8/01/2021,8,0.11,0
BEL,8/01/2021,13,0.16,0
BEL,8/01/2021,17,0.17,0
BEL,8/01/2021,21,0.37,0
BEL,8/01/2021,23,2.3,0
BEL,15/01/2021,3,0.23,0
BEL,15/01/2021,8,0.52,0
BEL,15/01/2021,13,0.74,0
BEL,15/01/2021,17,0.71,0
BEL,15/01/2021,21,1.57,0
BEL,15/01/2021,23,10.49,0
BEL,22/01/2021,3,0.98,0
BEL,22/01/2021,8,1.62,0
BEL,22/01/2021,13,2.03,0.01
BEL,22/01/2021,17,1.62,0.01
BEL,22/01/2021,21,2.6,0.01
BEL,22/01/2021,23,15.13,0.07
BEL,29/01/2021,3,1.52,0.04
BEL,29/01/2021,8,2.37,0.11
BEL,29/01/2021,13,2.88,0.15
BEL,29/01/2021,17,2.15,0.16
BEL,29/01/2021,21,3.03,0.35
BEL,29/01/2021,23,16.39,2.13
BEL,5/02/2021,3,1.81,0.22
BEL,5/02/2021,8,2.9,0.5
BEL,5/02/2021,13,3.48,0.72
BEL,5/02/2021,17,2.54,0.68
BEL,5/02/2021,21,3.25,1.5
BEL,5/02/2021,23,17.03,9.93
BEL,12/02/2021,3,2.01,0.91
BEL,12/02/2021,8,3.3,1.49
BEL,12/02/2021,13,3.99,1.91
BEL,12/02/2021,17,2.83,1.55
BEL,12/02/2021,21,3.39,2.51
BEL,12/02/2021,23,17.35,14.43
BEL,19/02/2021,3,2.45,1.46
BEL,19/02/2021,8,3.99,2.25
BEL,19/02/2021,13,4.71,2.77
BEL,19/02/2021,17,3.17,2.09
BEL,19/02/2021,21,3.53,2.92
BEL,19/02/2021,23,17.49,15.68
BEL,26/02/2021,3,3.16,1.7
BEL,26/02/2021,8,5.35,2.68
BEL,26/02/2021,13,6.12,3.25
BEL,26/02/2021,17,3.64,2.4
BEL,26/02/2021,21,3.69,3.14
BEL,26/02/2021,23,17.61,16.35
BEL,5/03/2021,3,4.37,1.91
BEL,5/03/2021,8,7.24,3.09
BEL,5/03/2021,13,8.09,3.73
BEL,5/03/2021,17,4.59,2.68
BEL,5/03/2021,21,4.34,3.27
BEL,5/03/2021,23,18.72,16.65
BEL,12/03/2021,3,5.46,2.3
BEL,12/03/2021,8,8.8,3.7
BEL,12/03/2021,13,9.78,4.44
BEL,12/03/2021,17,6.26,3.09
BEL,12/03/2021,21,6.01,3.42
BEL,12/03/2021,23,20.77,16.82
BEL,19/03/2021,3,6.44,2.8
BEL,19/03/2021,8,9.8,4.44
BEL,19/03/2021,13,11.24,5.34
BEL,19/03/2021,17,8.6,3.56
BEL,19/03/2021,21,11.27,3.59
BEL,19/03/2021,23,33.93,16.98
BEL,26/03/2021,3,6.98,3.31
BEL,26/03/2021,8,10.44,5.13
BEL,26/03/2021,13,12.13,6.28
BEL,26/03/2021,17,10.43,4.25
BEL,26/03/2021,21,18.5,4.08
BEL,26/03/2021,23,51.56,17.98
BEL,2/04/2021,3,7.35,3.77
BEL,2/04/2021,8,10.95,5.65
BEL,2/04/2021,13,12.83,7.16
BEL,2/04/2021,17,12.4,5.34
BEL,2/04/2021,21,26.44,4.92
BEL,2/04/2021,23,73.65,18.98
BEL,9/04/2021,3,7.68,4.03
BEL,9/04/2021,8,11.39,5.98
BEL,9/04/2021,13,13.66,7.6
BEL,9/04/2021,17,17.37,5.97
BEL,9/04/2021,21,52.39,6.28
BEL,9/04/2021,23,80.71,21.34
BEL,16/04/2021,3,8.15,4.22
BEL,16/04/2021,8,11.8,6.21
BEL,16/04/2021,13,15.23,7.92
BEL,16/04/2021,17,25.18,6.58
BEL,16/04/2021,21,77.71,8.3
BEL,16/04/2021,23,83.14,28.88
BEL,23/04/2021,3,8.7,4.34
BEL,23/04/2021,8,12.4,6.37
BEL,23/04/2021,13,18.91,8.1
BEL,23/04/2021,17,40.53,6.93
BEL,23/04/2021,21,88.15,9.17
BEL,23/04/2021,23,84.3,29.57
BEL,30/04/2021,3,9.31,4.55
BEL,30/04/2021,8,13.25,6.64
BEL,30/04/2021,13,23.81,8.53
BEL,30/04/2021,17,57.36,8.03
BEL,30/04/2021,21,89.91,12.84
BEL,30/04/2021,23,85.36,32.63
BEL,7/05/2021,3,9.94,4.87
BEL,7/05/2021,8,15.58,7.12
BEL,7/05/2021,13,32.72,9.42
BEL,7/05/2021,17,75.13,10.26
BEL,7/05/2021,21,91.37,20.2
BEL,7/05/2021,23,86.61,51.5
BEL,14/05/2021,3,10.61,5.25
BEL,14/05/2021,8,18.58,7.67
BEL,14/05/2021,13,41.03,10.38
BEL,14/05/2021,17,79.22,12.88
BEL,14/05/2021,21,92.24,40.03
BEL,14/05/2021,23,87.28,56.6
BEL,21/05/2021,3,11.25,6.29
BEL,21/05/2021,8,22.75,9.21
BEL,21/05/2021,13,56.5,12.96
BEL,21/05/2021,17,82.06,19.12
BEL,21/05/2021,21,92.88,52.32
