iso_code,date,vaccine_id,total_vaccinations
AUT,8/01/2021,9,0
AUT,8/01/2021,5,0
AUT,8/01/2021,1,0
AUT,8/01/2021,2,31020
AUT,15/01/2021,9,0
AUT,15/01/2021,5,90
AUT,15/01/2021,1,0
AUT,15/01/2021,2,115720
AUT,22/01/2021,9,0
AUT,22/01/2021,5,304
AUT,22/01/2021,1,0
AUT,22/01/2021,2,213121
AUT,29/01/2021,9,0
AUT,29/01/2021,5,4189
AUT,29/01/2021,1,0
AUT,29/01/2021,2,257804
AUT,5/02/2021,9,0
AUT,5/02/2021,5,5875
AUT,5/02/2021,1,2
AUT,5/02/2021,2,353299
AUT,12/02/2021,9,0
AUT,12/02/2021,5,9952
AUT,12/02/2021,1,10775
AUT,12/02/2021,2,454713
AUT,19/02/2021,9,0
AUT,19/02/2021,5,14072
AUT,19/02/2021,1,43527
AUT,19/02/2021,2,520337
AUT,26/02/2021,9,0
AUT,26/02/2021,5,22382
AUT,26/02/2021,1,101280
AUT,26/02/2021,2,581404
AUT,5/03/2021,9,0
AUT,5/03/2021,5,31671
AUT,5/03/2021,1,156080
AUT,5/03/2021,2,685700
AUT,12/03/2021,9,0
AUT,12/03/2021,5,47002
AUT,12/03/2021,1,234640
AUT,12/03/2021,2,848278
AUT,19/03/2021,9,14
AUT,19/03/2021,5,78740
AUT,19/03/2021,1,307819
AUT,19/03/2021,2,980603
AUT,26/03/2021,9,26
AUT,26/03/2021,5,104095
AUT,26/03/2021,1,383048
AUT,26/03/2021,2,1126465
AUT,2/04/2021,9,42
AUT,2/04/2021,5,140369
AUT,2/04/2021,1,421570
AUT,2/04/2021,2,1274186
AUT,9/04/2021,9,79
AUT,9/04/2021,5,179823
AUT,9/04/2021,1,511855
AUT,9/04/2021,2,1494845
AUT,16/04/2021,9,84
AUT,16/04/2021,5,222230
AUT,16/04/2021,1,607668
AUT,16/04/2021,2,1727969
AUT,23/04/2021,9,89
AUT,23/04/2021,5,259489
AUT,23/04/2021,1,656553
AUT,23/04/2021,2,1990886
AUT,30/04/2021,9,346
AUT,30/04/2021,5,298357
AUT,30/04/2021,1,698956
AUT,30/04/2021,2,2263721
AUT,7/05/2021,9,6461
AUT,7/05/2021,5,347497
AUT,7/05/2021,1,761871
AUT,7/05/2021,2,2593371
AUT,14/05/2021,9,13432
AUT,14/05/2021,5,397241
AUT,14/05/2021,1,825944
AUT,14/05/2021,2,2892072
AUT,21/05/2021,9,25667
AUT,21/05/2021,5,465043
AUT,21/05/2021,1,903432
AUT,21/05/2021,2,3268778
AUT,28/05/2021,9,37798
AUT,28/05/2021,5,518473
AUT,28/05/2021,1,986124
AUT,28/05/2021,2,3602885
AUT,4/06/2021,9,57766
AUT,4/06/2021,5,573645
AUT,4/06/2021,1,1054564
AUT,4/06/2021,2,4026934
AUT,11/06/2021,9,79301
AUT,11/06/2021,5,636369
AUT,11/06/2021,1,1149646
AUT,11/06/2021,2,4463981
AUT,18/06/2021,9,94169
AUT,18/06/2021,5,685809
AUT,18/06/2021,1,1201906
AUT,18/06/2021,2,4916995
AUT,25/06/2021,9,102662
AUT,25/06/2021,5,741323
AUT,25/06/2021,1,1275654
AUT,25/06/2021,2,5359938
AUT,2/07/2021,9,127926
AUT,2/07/2021,5,801121
AUT,2/07/2021,1,1383231
AUT,2/07/2021,2,5749049
AUT,9/07/2021,9,151797
AUT,9/07/2021,5,851196
AUT,9/07/2021,1,1450798
AUT,9/07/2021,2,6074049
AUT,16/07/2021,9,170904
AUT,16/07/2021,5,895366
AUT,16/07/2021,1,1502201
AUT,16/07/2021,2,6343691
AUT,23/07/2021,9,187129
AUT,23/07/2021,5,941491
AUT,23/07/2021,1,1531802
AUT,23/07/2021,2,6588985
AUT,30/07/2021,9,198845
AUT,30/07/2021,5,959985
AUT,30/07/2021,1,1558102
AUT,30/07/2021,2,6795565
AUT,6/08/2021,9,211849
AUT,6/08/2021,5,975804
AUT,6/08/2021,1,1572363
